1.991980224847793579e-01,5.486435890197753906e-01,3.739207983016967773e-01
1.682190746068954468e-01,5.490016341209411621e-01,3.586103618144989014e-01
2.269693166017532349e-01,5.488760471343994141e-01,3.879226744174957275e-01
1.687503010034561157e-01,5.495183467864990234e-01,3.591343164443969727e-01
1.089490726590156555e-01,5.487211942672729492e-01,3.288351297378540039e-01
1.805270016193389893e-01,5.479878783226013184e-01,3.642574548721313477e-01
2.063393592834472656e-01,5.554082989692687988e-01,3.808738291263580322e-01
2.314927875995635986e-01,5.499228239059448242e-01,3.907077908515930176e-01
2.351303696632385254e-01,5.486389994621276855e-01,3.918846845626831055e-01
2.590317428112030029e-01,5.567761063575744629e-01,4.079039096832275391e-01
2.295713573694229126e-01,5.474007725715637207e-01,3.884860575199127197e-01
1.559608876705169678e-01,5.477923154830932617e-01,3.518766164779663086e-01
2.034661024808883667e-01,5.491784811019897461e-01,3.763222992420196533e-01
2.155787497758865356e-01,5.518282651901245117e-01,3.837035000324249268e-01
2.377972155809402466e-01,5.516397953033447266e-01,3.947184979915618896e-01
2.186471372842788696e-01,5.482750535011291504e-01,3.834610879421234131e-01
2.341175526380538940e-01,5.491753816604614258e-01,3.916464745998382568e-01
2.377708852291107178e-01,5.486401915550231934e-01,3.932055234909057617e-01
2.323672473430633545e-01,5.483391284942626953e-01,3.903532028198242188e-01
2.226757556200027466e-01,5.546924471855163574e-01,3.886840939521789551e-01
2.525289356708526611e-01,5.483531355857849121e-01,4.004410505294799805e-01
2.263150960206985474e-01,5.472306609153747559e-01,3.867728710174560547e-01
7.337284088134765625e-02,5.822468996047973633e-01,3.278098702430725098e-01
2.362618446350097656e-01,5.491879582405090332e-01,3.927249014377593994e-01
2.010835856199264526e-01,5.488311648368835449e-01,3.749573826789855957e-01
1.450254172086715698e-01,5.501508712768554688e-01,3.475881516933441162e-01
2.173005044460296631e-01,5.539606213569641113e-01,3.856305480003356934e-01
2.366495877504348755e-01,5.477917790412902832e-01,3.922206759452819824e-01
1.231862008571624756e-01,5.494318604469299316e-01,3.363090157508850098e-01
1.140618324279785156e-01,5.651577115058898926e-01,3.396097719669342041e-01
2.658258378505706787e-01,5.481497645378112793e-01,4.069877862930297852e-01
4.831043630838394165e-02,5.487051606178283691e-01,2.985078096389770508e-01
2.283008992671966553e-01,5.485460758209228516e-01,3.884235024452209473e-01
1.774999201297760010e-01,5.563613772392272949e-01,3.669306635856628418e-01
2.276038676500320435e-01,5.498378276824951172e-01,3.887208402156829834e-01
1.629176884889602661e-01,5.506901741027832031e-01,3.568039238452911377e-01
2.307217270135879517e-01,5.542404055595397949e-01,3.924810588359832764e-01
1.080337017774581909e-01,5.481667518615722656e-01,3.281002342700958252e-01
1.137154996395111084e-01,5.472670793533325195e-01,3.304913043975830078e-01
2.401074469089508057e-01,5.492086410522460938e-01,3.946580290794372559e-01
